지역,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06
전국,99.958,99.977,99.942,99.986,99.956,99.992,100.05,100.126,100.224,100.307,100.414,100.596,100.782,101.152,101.588,101.964,102.403,102.639,102.696,102.721,102.758,102.758,102.821,102.856,102.829,102.755,102.612,102.427,102.13,101.772,101.32,100.923,100.562,100.198,99.942,99.704
수도권,99.973,100.025,100.018,100.073,100.061,100.116,100.202,100.293,100.431,100.525,100.645,100.866,101.089,101.497,102.019,102.452,102.972,103.249,103.324,103.365,103.44,103.475,103.594,103.665,103.668,103.621,103.503,103.338,103.082,102.754,102.316,101.93,101.576,101.225,100.995,100.782
지방,99.898,99.779,99.624,99.625,99.524,99.482,99.424,99.439,99.373,99.411,99.464,99.49,99.524,99.741,99.825,99.972,100.082,100.152,100.143,100.102,99.988,99.845,99.684,99.581,99.434,99.253,99.009,98.746,98.292,97.811,97.308,96.865,96.477,96.063,95.704,95.371
서울,100.032,100.105,100.122,100.166,100.117,100.135,100.207,100.3,100.354,100.39,100.35,100.429,100.585,100.836,101.173,101.498,101.913,102.224,102.341,102.375,102.548,102.647,102.835,102.965,103.034,103.042,102.957,102.806,102.599,102.352,102.083,101.809,101.524,101.247,101.112,100.963
도심권,100.051,100.121,100.135,100.17,100.181,100.184,100.291,100.379,100.396,100.426,100.502,100.587,100.73,100.755,101.026,101.359,101.588,101.795,101.834,101.876,101.948,102.169,102.334,102.433,102.518,102.557,102.441,102.241,102.09,101.926,101.736,101.526,101.502,101.325,101.249,101.139
동북권,100.059,100.06,100.172,100.233,100.32,100.384,100.542,100.685,100.736,100.771,100.821,100.935,101.116,101.213,101.311,101.56,101.911,102.07,102.195,102.192,102.388,102.477,102.642,102.669,102.599,102.517,102.327,102.031,101.754,101.232,100.622,100.252,99.931,99.636,99.484,99.382
서북권,100.03,100.018,99.979,99.985,99.819,99.802,99.769,99.465,99.55,99.489,99.124,98.953,99.053,99.095,99.126,99.151,99.275,99.409,99.457,99.335,99.437,99.326,99.545,99.713,99.776,99.781,99.605,99.4,99.235,99.153,99.033,98.866,98.663,98.385,98.208,98.079
서남권,100.016,100.109,100.142,100.179,100.155,100.203,100.281,100.429,100.479,100.509,100.464,100.586,100.731,101.158,101.702,102.129,102.565,102.924,103.046,103.149,103.274,103.348,103.527,103.603,103.644,103.643,103.587,103.472,103.26,103.022,102.681,102.238,101.853,101.53,101.366,101.195
동남권,100.035,100.16,100.133,100.199,100.079,100.056,100.115,100.292,100.352,100.446,100.483,100.601,100.79,101.058,101.404,101.77,102.393,102.838,103.002,103.036,103.333,103.531,103.735,103.981,104.157,104.217,104.203,104.119,103.916,103.693,103.6,103.533,103.277,103.036,102.95,102.786
부산,99.91,99.78,99.579,99.579,99.489,99.454,99.378,99.412,99.304,99.346,99.407,99.384,99.388,99.69,99.767,99.948,100.078,100.161,100.178,100.133,99.997,99.832,99.641,99.529,99.351,99.141,98.858,98.535,97.949,97.394,96.893,96.422,96.052,95.62,95.243,94.882
대구,99.979,99.893,99.822,99.896,99.637,99.787,99.67,99.707,99.758,99.808,99.832,99.871,99.856,99.802,99.841,99.797,99.721,99.631,99.558,99.474,99.335,99.156,99.002,98.859,98.727,98.497,98.318,98.101,97.857,97.459,96.806,96.305,95.917,95.473,95.107,94.689
인천,99.826,99.761,99.632,99.62,99.54,99.48,99.465,99.374,99.485,99.685,100.046,100.514,101.008,101.853,102.838,103.566,104.113,104.525,104.486,104.326,104.29,104.176,104.063,103.963,103.781,103.601,103.328,103.044,102.683,102.186,101.719,101.346,101.005,100.572,100.032,99.555
광주,99.77,99.732,99.626,99.669,99.688,99.678,100.123,100.111,100.132,100.23,100.335,100.483,100.479,100.457,100.412,100.542,100.767,100.834,100.846,100.815,100.75,100.675,100.582,100.464,100.459,100.396,100.3,100.197,100.057,99.754,99.281,98.85,98.399,97.932,97.565,97.266
대전,99.976,99.795,99.738,99.656,99.656,99.579,99.428,99.37,99.356,99.388,99.61,99.931,100.204,100.498,100.783,100.992,101.166,101.269,101.101,101.072,101.003,100.866,100.72,100.655,100.552,100.475,100.184,100.022,99.768,99.3,98.746,98.499,97.95,97.69,97.408,97.279
울산,99.646,99.374,99.175,99.111,98.849,98.524,98.358,98.279,98.219,98.105,97.863,97.847,97.951,97.981,98.046,98.137,98.171,98.283,98.293,98.336,98.343,98.343,98.331,98.314,98.222,98.115,97.979,97.87,97.663,97.433,97.072,96.628,96.274,95.896,95.641,95.425
세종,100,100.545,100.999,101.053,101.053,100.724,100.434,100.434,100.571,100.707,100.707,100.707,100.867,100.946,101.144,101.213,101.257,101.485,101.485,101.485,101.458,101.484,101.484,101.484,101.413,101.367,101.333,101.256,101.256,101.251,101.183,101.13,100.971,100.776,100.41,100.105
경기,99.955,100.022,100.032,100.122,100.178,100.315,100.451,100.606,100.851,100.976,101.198,101.5,101.708,102.148,102.73,103.188,103.825,104.015,104.078,104.196,104.194,104.205,104.323,104.383,104.373,104.306,104.205,104.066,103.786,103.424,102.796,102.274,101.834,101.427,101.194,100.998
